,姓名,成绩
0,张刚,49.43
1,彭秀英,78.86
2,杨军,55.92
3,丁东,65.35
4,郑文,58.78
5,赵建华,87.86
6,任艳,67.60
7,杨桂香,75.36
8,徐帅,53.19
9,王婷婷,42.93
10,王阳,63.84
11,姚红,31.11
12,汪强,32.86
13,李利,92.66
14,郁秀梅,74.73
15,王飞,95.80
16,李成,89.35
17,张亮,44.35
18,梁玉珍,47.50
19,章宁,57.72
20,费磊,77.57
21,乔芳,49.12
22,何雪梅,38.60
23,马秀荣,31.14
24,武健,58.73
25,王桂珍,59.31
26,宋倩,97.32
27,刘凯,60.17
28,郑宁,52.60
29,方瑞,36.86
30,李涛,96.47
31,欧阳宇,69.92
32,赵丽华,83.05
33,董秀云,75.44
34,周海燕,86.13
35,李静,30.06
36,王婷婷,68.68
37,甘欣,73.38
38,林晶,45.46
39,郝龙,49.25
40,张桂荣,48.38
41,陶淑兰,80.06
42,周淑兰,85.78
43,周瑞,38.30
44,靳岩,86.96
45,杨春梅,35.52
46,黄建华,98.98
47,冼楠,54.70
48,李丹,63.71
49,徐浩,44.06
50,刘金凤,75.84
51,李凯,49.03
52,张明,88.10
53,李辉,63.42
54,陈欣,44.18
55,王莉,41.64
56,吕雪,30.16
57,张帆,51.83
58,赵莉,47.55
59,叶红霞,69.31
60,陆桂英,53.67
61,刘坤,54.55
62,马芳,62.29
63,王秀荣,95.26
64,李建华,84.31
65,李欢,67.87
66,郭刚,70.35
67,陈飞,75.29
68,曾淑兰,80.52
69,刘玉梅,98.15
70,陈小红,50.05
71,郭畅,51.69
72,陆旭,70.98
73,宋淑珍,44.49
74,杨龙,67.38
75,丛鹏,45.56
76,刘亮,38.27
77,王峰,68.34
78,冯成,67.08
79,耿斌,46.27
80,常宇,72.24
81,李秀兰,97.62
82,夏丽娟,49.97
83,张梅,81.14
84,全秀梅,70.50
85,姚秀梅,75.65
86,雷玉华,72.74
87,张晶,81.24
88,王宁,53.45
89,胡金凤,98.30
90,高涛,78.57
91,郑琳,48.37
92,章玉,36.85
93,陈玉珍,52.87
94,陈雪,95.73
95,孟淑珍,92.88
96,丁敏,87.08
97,李荣,44.23
98,陈旭,41.83
99,韩文,64.88
